timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,787.8,1354.61,843.35,0.0
80000,782.27,602.1,822.41,0.0
120000,860.69,619.28,931.34,0.02
160000,797.5,574.82,837.69,0.0
200000,737.0,519.31,777.18,0.0
240000,807.81,638.81,863.22,0.0
280000,855.19,692.73,910.65,0.0
320000,712.16,488.43,752.41,0.0
360000,805.49,557.03,845.78,0.0
400000,732.91,505.93,788.37,0.0
440000,769.77,509.2,826.85,0.0
480000,764.4,624.98,836.65,0.01
520000,839.18,623.65,926.52,0.02
560000,772.37,494.62,829.54,0.0
600000,787.74,534.75,844.88,0.01
640000,763.47,477.62,844.1,0.0
680000,714.22,427.3,792.17,0.0
720000,750.57,565.19,835.64,0.0
760000,690.76,484.21,771.67,0.0
800000,762.61,458.63,842.31,0.0
840000,773.58,490.36,854.76,0.0
880000,738.72,558.13,823.05,0.0
920000,760.29,583.1,861.19,0.0
960000,752.48,523.24,835.36,0.0
1000000,826.53,597.33,913.32,0.0
