timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,489.8392857142857,2389.2678571428573,530.0714285714286,0.0
80000,767.41,1318.1,807.66,0.0
120000,746.24,626.98,786.36,0.0
160000,850.04,550.03,890.16,0.0
200000,798.5,491.79,838.65,0.0
240000,816.73,672.12,873.58,0.01
280000,753.7,573.4,810.87,0.0
320000,749.51,454.19,828.84,0.01
360000,677.41,527.23,760.45,0.0
400000,668.07,498.96,764.88,0.0
440000,738.57,545.08,837.61,0.01
480000,761.29,562.27,846.06,0.0
520000,754.22,588.41,840.42,0.0
560000,728.1,516.05,810.57,0.0
600000,766.43,514.68,849.16,0.0
640000,752.84,531.7,836.04,0.0
680000,715.61,498.74,797.14,0.0
720000,755.42,586.97,841.58,0.0
760000,784.28,527.46,867.13,0.01
800000,778.77,658.41,883.39,0.01
840000,670.29,441.64,749.44,0.0
880000,746.75,518.6,829.45,0.0
920000,747.4,532.19,845.66,0.02
960000,671.78,417.62,749.41,0.0
1000000,707.28,445.91,786.29,0.0
