timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,-138.51111111111112,2791.488888888889,597.7555555555556,0.0
80000,-183.2469135802469,3686.679012345679,660.3456790123457,0.0
120000,-197.2,3965.48,697.71,0.0
160000,-205.75,4135.85,631.0,0.0
200000,-197.03,3959.83,543.48,0.0
240000,-152.37,3063.76,523.87,0.0
280000,-33.48,679.33,788.15,0.01
320000,-29.17,593.61,756.27,0.0
360000,-31.84,645.55,706.48,0.0
400000,-21.8,444.21,667.58,0.0
440000,339.39,332.04,395.94,0.0
480000,692.85,464.38,755.71,0.0
520000,617.37,395.4,676.69,0.0
560000,685.99,449.84,748.11,0.0
600000,671.32,450.67,733.45,0.0
640000,657.66,422.05,735.68,0.0
680000,604.26,411.06,681.6,0.0
720000,630.97,415.38,708.64,0.0
760000,671.38,471.66,751.58,0.0
800000,702.22,464.5,782.17,0.0
840000,636.02,408.03,713.24,0.0
880000,698.01,452.93,777.53,0.0
920000,719.01,519.28,801.74,0.0
960000,689.69,506.92,771.66,0.0
1000000,696.3,527.05,779.27,0.0
