timesteps,episode_rewards,episode_lengths,x_positions,flags_gotten
40000,687.0,823.56,727.55,0.0
80000,832.84,604.12,903.54,0.01
120000,666.36,437.87,706.43,0.0
160000,788.46,692.63,859.29,0.01
200000,743.43,535.68,798.84,0.01
240000,792.63,619.16,848.1,0.0
280000,772.97,474.74,813.03,0.0
320000,782.1,565.13,852.66,0.02
360000,799.46,596.59,837.49,0.0
400000,850.26,655.56,890.4,0.01
440000,670.55,468.42,710.74,0.0
480000,815.21,524.57,870.77,0.01
520000,779.97,621.43,850.68,0.01
560000,789.13,504.74,829.4,0.0
600000,788.45,488.18,828.5,0.0
640000,848.59,543.95,888.71,0.01
680000,850.42,528.19,890.58,0.01
720000,740.18,447.9,780.44,0.0
760000,707.16,449.34,747.32,0.0
800000,866.24,568.25,906.33,0.0
840000,674.52,475.84,731.39,0.0
880000,797.31,532.64,854.39,0.0
920000,774.91,506.68,832.01,0.0
960000,748.74,447.59,806.06,0.0
1000000,767.91,476.15,825.2,0.0
